simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
347,onc_0347,3035,1186,732,heated
348,onc_0348,4429,899.5,744.5,heated
349,onc_0349,2301,1407,1056,heated
350,onc_0350,2723,1229,914.5,heated
351,onc_0351,2382,1368,782,heated
352,onc_0352,3149,1171,717.5,heated
353,onc_0353,2755,1185,1180,unheated
354,onc_0354,3502,1074,653.5,heated
355,onc_0355,4042,946.5,706.5,heated
356,onc_0356,3233,1118,686.5,heated
357,onc_0357,2870,1225,852.5,heated
358,onc_0358,3596,1010.5,979,unheated
359,onc_0359,3263,1146,732,heated
360,onc_0360,2262,1431,948,heated
361,onc_0361,3480,1080,655,heated
362,onc_0362,2349,1380,798,heated
363,onc_0363,2759,1210,885.5,heated
364,onc_0364,2636,1199,1138,unheated
365,onc_0365,2360,1329,755,heated
366,onc_0366,3430,1076,672.5,heated
367,onc_0367,2554,1344,908.5,heated
368,onc_0368,2432,1361,847,heated
369,onc_0369,2299,1347,1194,heated
370,onc_0370,2564,1319,864,heated
371,onc_0371,4234,994.5,714,heated
372,onc_0372,2233,1465,933.5,heated
373,onc_0373,2075,1397,1394,unheated
374,onc_0374,2714,1214,703.5,heated
375,onc_0375,2941,1218,830,heated
376,onc_0376,2548,1293,764,heated
377,onc_0377,2372,1294,1234,unheated
378,onc_0378,2547,1331,894.5,heated
379,onc_0379,4707,907.5,652,heated
380,onc_0380,2290,1342,1191,heated
381,onc_0381,3897,984.5,600,heated
382,onc_0382,3123,1121,836.5,heated
383,onc_0383,2976,1250,1148,heated
384,onc_0384,2554,1278,942,heated
385,onc_0385,3557,1068,796.5,heated
386,onc_0386,2450,1333,768.5,heated
387,onc_0387,2836,1237,925,heated
388,onc_0388,1900,1484,1317,heated
389,onc_0389,3743,1034,709,heated
390,onc_0390,2377,1319,1187,heated
391,onc_0391,3480,1042,792,heated
392,onc_0392,2261,1468,840.5,heated
393,onc_0393,2455,1337,797.5,heated
394,onc_0394,3956,1041,734,heated
395,onc_0395,2571,1314,874.5,heated
396,onc_0396,2913,1150,1138,unheated
397,onc_0397,2519,1351,905,heated
398,onc_0398,2577,1288,748.5,heated
399,onc_0399,2993,1195,769.5,heated
400,onc_0400,2138,1469,1027,heated
401,onc_0401,2954,1219,791.5,heated
402,onc_0402,3155,1147,726,heated
403,onc_0403,3785,975.5,975.5,unheated
404,onc_0404,3904,976,603.5,heated
405,onc_0405,3741,1026,968,unheated
406,onc_0406,3233,1133,767,heated
407,onc_0407,2267,1417,862.5,heated
408,onc_0408,2513,1306,1015.5,heated
