simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
610,onc_0610,3272,996,861.5,heated
611,onc_0611,2827,1000.5,833,heated
612,onc_0612,3277,888.5,739,heated
613,onc_0613,3382,964.5,824.5,heated
614,onc_0614,1842,1452,1293,heated
615,onc_0615,2075,1207,1056,heated
616,onc_0616,1623,1468,1176,heated
617,onc_0617,1871,1338,1066,heated
618,onc_0618,1810,1442,1171,heated
619,onc_0619,1870,1369,1089,heated
620,onc_0620,2492,1124,914.5,heated
621,onc_0621,2389,1214,1059,heated
622,onc_0622,1548,1471,1216,heated
623,onc_0623,3731,950,831,heated
624,onc_0624,2109,1217,1085,heated
625,onc_0625,2503,1086,887,heated
626,onc_0626,2261,1119,926,heated
627,onc_0627,2916,986.5,825,heated
628,onc_0628,3852,898.5,767.5,heated
629,onc_0629,1729,1455,1187,heated
630,onc_0630,2076,1226,998,heated
631,onc_0631,1809,1350,1096,heated
632,onc_0632,2992,1082,892,heated
633,onc_0633,2139,1147,979,heated
634,onc_0634,1980,1334,1300,unheated
635,onc_0635,2249,1176,1094,unheated
636,onc_0636,3478,919.5,841.5,unheated
637,onc_0637,1996,1234,1121,heated
638,onc_0638,1995,1401,1198,heated
639,onc_0639,2727,1070,979,unheated
640,onc_0640,1978,1249,1013,heated
641,onc_0641,2493,1072,869,heated
642,onc_0642,2398,1087,883.5,heated
643,onc_0643,2010,1250,1170,unheated
644,onc_0644,2194,1127,912,heated
645,onc_0645,1741,1441,1154,heated
646,onc_0646,2228,1258,1221,unheated
647,onc_0647,2621,1000,820.5,heated
648,onc_0648,1837,1426,1331,unheated
649,onc_0649,1947,1343,1069,heated
650,onc_0650,1962,1351,1076,heated
651,onc_0651,2877,1063,861.5,heated
652,onc_0652,1849,1417,1249,heated
653,onc_0653,2214,1151,931.5,heated
654,onc_0654,2608,1123,1069,unheated
655,onc_0655,2255,1311,1088,heated
656,onc_0656,1576,1485,1228,heated
657,onc_0657,2638,1159,956.5,heated
658,onc_0658,3219,915.5,766,heated
659,onc_0659,1558,1481,1209,heated
660,onc_0660,2848,1059,860.5,heated
661,onc_0661,1568,1491,1222,heated
662,onc_0662,3086,933,771.5,heated
663,onc_0663,2737,1165,951,heated
664,onc_0664,2331,1144,939.5,heated
665,onc_0665,1713,1452,1152,heated
666,onc_0666,2531,1050,897.5,heated
667,onc_0667,2681,1148,944.5,heated
668,onc_0668,3041,1082,889.5,heated
669,onc_0669,1718,1474,1201,heated
670,onc_0670,2604,1053,868.5,heated
671,onc_0671,2001,1250,1081,heated
672,onc_0672,1930,1356,1200,heated
673,onc_0673,2311,1233,1037,heated
674,onc_0674,2210,1278,1048,heated
675,onc_0675,2127,1416,1149,heated
676,onc_0676,3267,1025,833.5,heated
677,onc_0677,3282,1074,885.5,heated
678,onc_0678,2866,1094,927,heated
679,onc_0679,2701,1151,942,heated
680,onc_0680,1931,1296,1230,unheated
681,onc_0681,2240,1161,1007.5,heated
682,onc_0682,2073,1214,1098,heated
683,onc_0683,2976,1102,922,heated
684,onc_0684,2642,1040,860,heated
685,onc_0685,3150,910.5,755,heated
686,onc_0686,1827,1380,1171,heated
687,onc_0687,2113,1254,1002.5,heated
688,onc_0688,2153,1235,989.5,heated
689,onc_0689,3058,1067,939,heated
690,onc_0690,2158,1415,1137,heated
691,onc_0691,1753,1395,1133,heated
692,onc_0692,2697,1145,973.5,heated
693,onc_0693,4316,963.5,789.5,heated
694,onc_0694,2008,1264,1188,unheated
695,onc_0695,1653,1463,1183,heated
696,onc_0696,2409,1086,878,heated
697,onc_0697,1789,1396,1109,heated
698,onc_0698,2031,1279,1020,heated
699,onc_0699,2452,1160,1108,unheated
700,onc_0700,3436,914,750,heated
701,onc_0701,3035,1040,883,heated
702,onc_0702,2172,1154,954.5,heated
703,onc_0703,1803,1421,1224,heated
704,onc_0704,3741,903,745,heated
705,onc_0705,3223,989.5,870,heated
706,onc_0706,2264,1231,994,heated
707,onc_0707,2282,1264,1030,heated
708,onc_0708,1984,1296,1037,heated
709,onc_0709,2292,1260,1018,heated
710,onc_0710,1842,1273,1076,heated
711,onc_0711,2787,1020,846,heated
712,onc_0712,3635,964.5,798,heated
713,onc_0713,2667,1153,960.5,heated
714,onc_0714,1795,1445,1236,heated
715,onc_0715,2361,1156,932,heated
716,onc_0716,3826,938,788.5,heated
717,onc_0717,2774,977,798.5,heated
718,onc_0718,1876,1266,1082,heated
719,onc_0719,3092,975,804.5,heated
720,onc_0720,3043,939.5,774.5,heated
721,onc_0721,1955,1349,1075,heated
722,onc_0722,2452,1040,846,heated
723,onc_0723,1891,1265,1132,heated
724,onc_0724,3619,883,728.5,heated
725,onc_0725,1659,1477,1173,heated
726,onc_0726,2780,1060,973.5,unheated
727,onc_0727,1912,1267,1051,heated
728,onc_0728,3270,948,785.5,heated
729,onc_0729,2937,981.5,829,heated
730,onc_0730,1897,1383,1143,heated
731,onc_0731,2333,1134,1015,heated
732,onc_0732,2550,1073,886.5,heated
733,onc_0733,3316,962.5,959,unheated
734,onc_0734,1945,1322,1092,heated
735,onc_0735,2199,1266,1020,heated
736,onc_0736,2910,1000.5,823,heated
737,onc_0737,1953,1374,1132,heated
738,onc_0738,1600,1445,1214,heated
739,onc_0739,3280,934.5,777,heated
740,onc_0740,1834,1317,1092,heated
741,onc_0741,3950,941,770.5,heated
742,onc_0742,2076,1257,1006,heated
743,onc_0743,2151,1301,1132,heated
744,onc_0744,1568,1477,1239,heated
745,onc_0745,1872,1367,1107,heated
746,onc_0746,2491,1123,907,heated
747,onc_0747,1784,1458,1164,heated
748,onc_0748,3869,904,808.5,unheated
749,onc_0749,3205,962,954,unheated
750,onc_0750,2154,1160,955.5,heated
751,onc_0751,1915,1278,1130,heated
752,onc_0752,2133,1265,1085,heated
753,onc_0753,3093,955.5,793,heated
754,onc_0754,3568,929.5,801.5,heated
755,onc_0755,1985,1366,1180,heated
756,onc_0756,2159,1244,1125,heated
757,onc_0757,1828,1382,1099,heated
758,onc_0758,2586,1168,962.5,heated
759,onc_0759,2665,1022,835.5,heated
760,onc_0760,3132,978.5,816,heated
761,onc_0761,2472,1153,928.5,heated
762,onc_0762,2117,1316,1302,unheated
763,onc_0763,3362,905.5,746.5,heated
764,onc_0764,3676,952,840.5,heated
765,onc_0765,1713,1450,1181,heated
766,onc_0766,3306,905,825,unheated
767,onc_0767,3739,967.5,828.5,heated
768,onc_0768,2439,1130,912.5,heated
769,onc_0769,1919,1363,1208,heated
770,onc_0770,3333,904,854,unheated
771,onc_0771,3537,969.5,828,heated
772,onc_0772,3862,907.5,814.5,unheated
773,onc_0773,2337,1224,1082,heated
